Nom,Viet
爲埃垠迍𫗄東,Vì ai ngăn đón gió đông
舌𢚸欺於𤴬𢚸欺𠫾,Thiệt lòng khi ở đau lòng khi đi
重逢油禍固欺,Trùng phùng dầu hoạ có khi
身尼催固𫥨咦麻懞,Thân này thôi có ra gì mà mong
㐌生𫥨數竜冬,Đã sinh ra số long đong
群芒𥙩刧𦟐紅特牢,Còn mang lấy kiếp má hồng được sao
𨕭㯊産固𡥵刀,Trên yên sẵn có con dao
𨁪扲娘㐌襘𠓨𧝨巾,Giấu cầm nàng đã gói vào chéo khăn
防欺渃㐌旦蹎,Phòng khi nước đã đến chân
刀尼時料貝身𡢐尼,Dao này thì liệu với thân sau này
𣈘愁𱥺刻𱥺迡,Đêm sầu một khắc một chầy
氷傾如醒如醝𱥺命,Bâng khuâng như tỉnh như say một mình
庄𪟽𡥚馬監生,Chẳng ngờ gã Mã Giám Sinh
刎𱺵𱥺𠀲風情㐌悁,Vẫn là một đứa phong tình đã quen
過𨔈吏﨤回顛,Quá chơi lại gặp hồi đen
悁𠿃吏劍咹沔月花,Quen mui lại kiếm ăn miền nguyệt hoa
楼撑固𠋦秀𱙘,Lầu xanh có mụ Tú Bàì
廊𨔈㐌阻𧗱𦓅歇緣,Làng chơi đã trở về già hết duyên
情期拯𭉑麻𢧚,Tình cờ chẳng hẹn mà nên
𩈘鋸𦲾䔲堆边𱥺坊,Mặt cưa mướp đắng đôi bên một phường
終𦡟𨷑𱥺𡾵行,Chung lưng mở một ngôi hàng
𨒺𢆥奔粉半香㐌例,Quanh năm buôn phấn bán hương đã lề
𨄹尋泣𢄂時圭,Dạo tìm khắp chợ thì quê
假名侯下𠰺藝咹𨔈,Giả danh hầu hạ dạy nghề ăn chơi
𰦫𢆧歐拱事𡗶,Rủi may âu cũng sự trời
斷腸吏撰𩈘𠊛無緣,Đoạn trường lại chọn mặt người vô duyên
㤕娘𡭧分婵娟,Xót nàng chút phận thuyền quyên
梗花󰝂半𠓨船俚奔,Cành hoa đem bán vào thuyền lái buôn
卯𩢬㐌𢹇𠓨囷,Mẹo lừa đã mắc vào khuôn
聘儀𥜤價迎婚産𣈗,"Sính nghi rẻ giá, nghênh hôn sẵn ngày"
𢜠󰠐旗㐌旦𢬣,Mừng thầm cờ đã đến tay
強𥆾𨤔玉強醝曲鐄,Càng nhìn vẻ ngọc càng say khúc vàng
㐌𢧚國色天香,Đã nên quốc sắc thiên hương
𱥺唭尼罕𠦳鐄庄訛,Một cười này hẳn nghìn vàng chẳng ngoa
𧗱低渃𠓀𢯏花,Về đây nước trước bẻ hoa
王孫貴客乙𱺵𢵋𠑬,Vương tôn quý khách ắt là đua nhau
罕𠀧𤾓兩劍兜,Hẳn ba trăm lạng kém đâu
拱它皮本群𡢐時唎,Cũng đà vừa vốn còn sau thì lời
𠰳唁掑旦羨坭,Miếng ngon kề đến tận nơi
本茄拱惜𧵑𠁀拱貪,"Vốn nhà cũng tiếc, của đời cũng tham"
桃仙㐌𤊰𢬣凡,Đào tiên đã bén tay phàm
時援梗𢵮朱甘事𠁀,Thì vin cành quít cho cam sự đời
𥪞塵𱥯𩈘廊𨔈,Trong trần mấy mặt làng chơi
𨔈花㐌易𱥯𠊛別花,Chơi hoa đã dễ mấy người biết hoa
渃𤿭榴𧖱芼𪃴,"Nước vỏ lựu, máu mào gà"
摱牟招集吏𱺵群原,Mượn màu chiêu tập lại là còn nguyên
𥄫𥊚打吝昆顛,Mập mờ đánh lận con đen
包饒拱闭饒錢𠅎之,Bao nhiêu cũng bấy nhiêu tiền mất chi
𠋦𦓅或固條咦,Mụ già hoặc có điều gì
料功𠅎𱥺𣇜跪麻催,Liều công mất một buổi quỳ mà thôi
𡲤低塘舍賒吹,Vả đây đường sá xa xôi
麻些不動女𠊛生𪟽,Mà ta bất động nữa người sinh nghi
惜台𱥺朵茶蘼,Tiếc thay một đoá trà mi
𡥵螉㐌𨷑塘𠫾𫮇𧗱,Con ong đã mở đường đi lối về
𱥺干湄𫗄𱴸泥,Một cơn mưa gió nặng nề
惜咦旦玉傷咦旦香,Tiếc gì đến ngọc thương gì đến hương
𣈘春𱥺聀𢠩忙,Đêm xuân một giấc mơ màng
𤒘花底妬默娘𦣰猪,Đuốc hoa để đó mặc nàng nằm trơ
湥𥢅潯瀉𣻆湄,Giọt riêng tầm tã tuôn mưa
份㤌餒客份洳餒命,Phần căm nỗi khách phần nhơ nỗi mình
從咦𱺵𥠭灰腥,Tuồng gì là giống hôi tanh
身𠦳鐄底污名𦟐紅,Thân nghìn vàng để ô danh má hồng
催羣之女麻懞,Thôi còn chi nữa mà mong
𠁀𠊛催世𱺵双𱥺𠁀,Đời người thôi thế là xong một đời
恨緣𢣃分排排,Giận duyên tủi phận bời bời
扲刀娘㐌算排捐生,Cầm dao nàng đã toan bài quyên sinh
𢪀𠫾𢪀吏𱥺命,Nghĩ đi nghĩ lại một mình
𱥺情時𠤆𠄩情時牢,Một tình thì chớ hai tình thì sao
𡢐油生事世芇,Sau dù sinh sự thế nào
追原拯矯累𠓨双親,Truy nguyên chẳng khéo luỵ vào song thân
打料歐拱樣寅,Đánh liều âu cũng dạng dần
急迡催拱𱥺吝麻催,Kíp chầy thôi cũng một lần mà thôi
仍𱺵𢵋担虐吹,Những là đo đắn ngược xuôi
㗂𪃴𦖑㐌嘅𤉚𠃅墻,Tiếng gà nghe đã gáy sôi mái tường
樓𣈕皮㗜𧥇霜,Lầu mai vừa rúc còi sương
馬生𠽖也倍傍𫥨𠫾,Mã sinh giục giã vội vàng ra đi
断腸台𣅶臨岐,Đoạn trường thay lúc lâm kì
𨀒駒泣警𨋣車岌𡹡,Vó câu khấp khểnh bánh xe gập ghềnh
皮外𨑮𨤵長亭,Vừa ngoài mười dặm trường đình
王翁挭席餞行迻蹺,Vương ông gánh tiệc tiễn hành đưa theo
外茄主客逸迢,Ngoài nhà chủ khách dặt dìu
𥪞茄萱貝𱥺翹於𥪞,Trong nhà huyên với một Kiều ở trong
強𥆾強淤湥紅,Càng nhìn càng Ứa giọt hồng
𠯇𦖻娘買𤉒𢚸湿高,Rỉ tai nàng mới giãi lòng thấp cao
虎生𫥨分䜹桃,"""Hổ sinh ra phận thơ đào"
功吒𱻊媄刧芇者双,Công cha nghĩa mẹ kiếp nào trả xong
女廊渃濁𣻃𤄯,Lỡ làng nước đục bụi trong
𤾓𢆥底𱥺𬌓𢚸自低,Trăm năm để một tấm lòng từ đây
䀡𦎛𥪞閉饒𣈗,Xem gương trong bấy nhiêu ngày
身𡥵拯矯𢹇𢬣姂𦓅,Thân con chẳng khéo mắc tay bợm già
欺𧗱補永𥪞茄,Khi về bỏ vắng trong nhà
欺𠓨𣼭孕欺𫥨倍傍,Khi vào dồi dắng khi ra vội vàng
欺咹欺呐女廊,Khi ăn khi nói lỡ làng
欺柴欺伵䀡常䀡輕,Khi thầy khi tớ xem thường xem khinh
恪牟几貴𠊛清,Khác màu kẻ quý người thanh
𥋴𫥨朱技如形𡥵奔,Ngắm ra cho kỹ như hình con buôn
催𡥵群呐之𡥵,Thôi con còn nói chi con
𤯨𢘾坦客𣨰墫圭𠊛,"Sống nhờ đất khách thác chôn quê người""."
王𱙘𦖑閉饒𠳒,Vương bà nghe bấy nhiêu lời
㗂冤㐌悶拍𡗶呌𨖲,Tiếng oan đã muốn vạch trời kêu lên
𠄽旬渚𣴓𡃹𡅳,Vài tuần chưa cạn chén khuyên
𠃅外𱎢㐌𠽖連𲃲𠫾,Mé ngoài nghỉ đã giục liền ruổi đi
㤕𡥵𢚸𱴸迡迡,Xót con lòng nặng chề chề
𠓀鞍翁㐌𱔪呢濕高,Trước yên ông đã nằn nì thấp cao
𡭧身要柳䜹桃,Chút thân yếu liễu thơ đào
極茄旦餒𤄱𠓨碎󰎡,Cực nhà đến nỗi dấn vào tôi ngươi
自低𧣳𣷭边𡗶,Từ đây góc bể bên trời
𣌝湄退退圭𠊛𱥺身,Nắng mưa thui thủi quê người một thân
𠦳尋𢘾𩃳松筠,Ngàn tầm nhờ bóng tùng quân
雪霜𩂏阻朱身葛藤,Tuyết sương che trở cho thân cát đằng
𣴓𠳒客買䜹浪,Cạn lời khách mới thưa rằng:
𫃚蹎催拱赤绳冉𢭂,“Buộc chân thôi cũng xích thằng nhiệm trao
𣈕𡢐油旦世芇,Mai sau dù đến thế nào
箕𦎛日月怒刀鬼神,"Kìa gương nhật nguyệt nọ đao quỷ thần""."
同同𫗄𠽖𩄲運,Đùng đùng gió giục mây vần
𱥺車𥪞𡎝紅塵如𢒎,Một xe trong cõi hồng trần như bay
𬂙撝拔淚𢺹𢬣,Trông vời gạt lệ chia tay
𧣳𡗶瀋瀋𣈘𣈜㴷㴷,Góc trời thăm thẳm đêm ngày đăm đăm
娘時𨤵客賒侵,Nàng thì dặm khách xa xăm
泊𤽵梂𬰊顛霪岸𩄲,Bạc phau cầu giá đen rầm ngàn mây
葦𦰤察察唏枚,Vi lau san sát hơi may
𱥺𡗶秋底𥢅埃𱥺𠊛,Một trời thu để riêng ai một người
𨤵𣅘𩁶凈𩂟𣾺,Dặm khuya ngất tạnh mù khơi
𧡊𦝄麻𢢆仍𠳒𡽫滝,Thấy trăng mà thẹn những lời non sông
棱秋𤻼碧癋紅,Rừng thu rỗ biếc ố hồng
棱秋𤻼碧癋紅,Rừng thu rỗ biếc ố hồng
仍𱺵𨓐渃𨓐𡽫,Những là lạ nước lạ non
臨淄皮𱥺𣎃𡃋細坭,Lâm Tri vừa một tháng tròn tới nơi
車珠仃𨋣𲈾外,Xe châu dừng bánh cửa ngoài
簾𥪞㐌𧡊𱥺𠊛𨀈𫥨,Rèm trong đã thấy một người bước ra
脱𬂙󰣦辣牟䏧,Thoạt trông nhờn nhợt màu da
咹之高𢀲悌它爫牢,Ăn chi cao lớn đẫy đà làm sao
𠓀車把呂𠻃嘲,Trước xe bả lả han chào
𠳐𠳒娘買𨀈𠓨羨坭,Vâng lời nàng mới bước vào tận nơi
边時𱥯婀眉𧍋,Bên thì mấy ả mày ngài
边時𡎦𦊚𠄼𠊛廊𨔈,Bên thì ngồi bốn năm người làng chơi
𡧲時香案罕灰,Giữa thì hương án hẳn hoi
𨕭撩𱥺像𤽸堆𣯡眉,Trên treo một tượng trắng đôi lông mày
樓撑悁𡓃𠸗𫢩,Lầu xanh quen lối xưa nay
藝尼時𥙩翁尼先師,Nghề này thì lấy ông này tiên sư
香花𣋚𣋽奉蜍,Hương hoa hôm sớm phụng thờ
姑芇醜𡳺固踈䋦行,Cô nào xấu vía có thưa mối hàng
𢶒襜律襖𱟎悜,Cổi xiêm lột áo chán chường
𠓀盘仕願𤗖香啉嗂,Trước bàn sẽ nguyện mảnh hương lầm rầm
𢬭花𢯰𫴋詔𦣰,Đổi hoa lót xuống chiếu nằm
𧊉𠫾螉來喑喑四圍,Bướm đi ong lại ầm ầm tứ vi
翹羣魚謹別之,Kiều còn ngơ ngẩn biết chi
據𠳒𥛉𫴋𠋦時𭝫𣦍,Cứ lời lạy xuống mụ thì khấn ngay
𨷑行奔半朱枚,“Mở hàng buôn bán cho may
𣈘𣈘寒食𣈗𣈗元宵,Đêm đêm Hàn thực ngày ngày Nguyên tiêu
𬮙𠦳𠊛𧡊拱夭,Muôn nghìn người thấy cũng yêu
𠮿嗃鸚燕習妙竹梅,Xôn xao anh yến dập dìu trúc mai
信雁𢵼𦲿踈排,Tin nhạn vượt lá thư bài
迻𠊛𲈾𠓀逴𠊛𲈾𡢐,"Đưa người cửa trước rước người cửa sau""."
𨓐𦖻𦖑渚別兜,Lạ tai nghe chửa biết đâu
䀡情𫥨拱仍牟𱠎揚,Xem tình ra cũng những màu dở dang
礼双香火祠堂,Lễ xong hương hoả từ đường
秀𱙘𢪱𣷴𨖲床𡓮𣦍,Tú Bà vắt vẻo lên giường ngồi ngay
𠰺浪𡥵𥛉媄低,"Dạy rằng: ""Con lạy mẹ đây"
𥛉耒𨖅𥛉舅𫵇边箕,"Lạy rồi sang lạy cậu mày bên kia""."
娘浪沛𨀈流離,"Nàng rằng: ""Phải bước lưu ly"
分𠍦𠳐㐌甘皮小星,Phận hèn vâng đã cam bề tiểu tinh
條兜𥙩燕爫鸚,Điều đâu lấy yến làm anh
𬏝踈拯別𱺵名分咦,Ngây thơ chẳng biết là danh phận gì
𲄋條納采于歸,Đủ điều nạp thái vu quy
㐌欺終乍吏欺𥪸𡓮,Đã khi chung chạ lại khi đứng ngồi
𣇞𫥨𠊝堛𢬭𡾵,Giờ ra thay bậc đổi ngôi
監吀𠳚吏𱥺𠳒朱明,"Dám xin gửi lại một lời cho minh""."
𠋦𦖑娘呐𫨩情,Mụ nghe nàng nói hay tình
閉𣇞買浽三彭𠋦𨖲,Bấy giờ mới nổi tam bành mụ lên
尼尼事㐌果然,"""Này này sự đã quả nhiên"
催它刧𤯨𫯳㒙𠫾耒,Thôi đà cướp sống chồng min đi rồi
𠶓浪𠫾𨄹𥙩𠊛,Bảo rằng đi dạo lấy người
󰝂𧗱逴客劍利麻咹,Đem về rước khách kiếm lời mà ăn
傱無恥於不仁,Tuồng vô sỉ ở bất nhân
𢞂命𠓀㐌秦緡此𨔈,Buồn mình trước đã tần mần thử chơi
牟糊㐌𠅎𠫾耒,Màu hồ đã mất đi rồi
催催本另𠫾𠁀茄魔,Thôi thôi vốn liếng đi đời nhà ma
𡥵箕㐌半朱些,Con kia đã bán cho ta
𠓨茄沛據法茄𠋺低,Vào nhà phải cứ phép nhà tao đây
老箕固阻排𠾦,Lão kia có trở bài bây
拯挷𠓨𩈘麻𡮠仃𦖑,Chẳng văng vào mặt mà mày đành nghe
據牢𠹾卒𱥺皮,Cớ sao chịu tốt một bề
𡛔絲麻㐌𤻭藝𣋽牢,Gái tơ mà đã ngứa nghề sớm sao
沛爫朱別法𠋺,"Phải làm cho biết phép tao""."
秩皮鞭拉趂𠓨𫥨𢬣,Giật bì tiên rắp sấn vào ra tay
娘浪𡗶瀋坦𠫅,"Nàng rằng: ""Trời thẳm đất dày"
身尼㐌補仍𣈗𫥨𠫾,Thân này đã bỏ những ngày ra đi
催催群固惜之,Thôi Thôi còn có tiếc gì”.
産刀𢬣襖即時𱠎𫥨,Sẵn dao tay áo tức thì giở ra
𢜝肝涅玉料花,Sợ gan nát ngọc liều hoa
𠋦群𥆾𩈘娘它過𢬣,Mụ còn nhìn mặt nàng đà quá tay
傷喂才色堛尼,Thương ôi tài sắc bực này
𱥺刀冤孽𢴑𦀊風塵,Một dao oan nghiệt dứt dây phong trần
餒冤𥓅𥑁賒𧵆,Nỗi oan lở vỡ xa gần
𥪞茄𠊛質𱥺吝如𢬧,Trong nhà người chặt một lần như nen
娘時弼弼聀仙,Nàng thì bằn bặt giấc tiên
𠋦時岌岌𩈘𥆾魂𢒎,Mụ thì cầm cập mặt nhìn hồn bay
域娘𠓨准軒西,Vực nàng vào chốn hiên tây
割𠊛𥋳朔𬦳柴茦𧅬,Cắt người coi sóc chạy thầy thuốc men
芇𫨩渚歇塵緣,Nào hay chưa hết trần duyên
𥪞迷㐌𧡊淡仙𤑟𤉜,Trong mê đã thấy Đạm Tiên rõ ràng
𠶓浪因果𱠎揚,Bảo rằng: “Nhân quả dở dang
㐌算遁𡢻断腸特牢,Đã toan trốn nợ đoạn trường được sao
數群𱴸業𦟐桃,Số còn nặng nghiệp má đào
𠊛油闷另𡗶芇㐌朱,Người dù muốn lánh trời nào đã cho
唉吀撰刧柳蒲,Hãy xin trọn kiếp liễu bồ
滝錢塘仕限㗅𧗱𡢐,"Sông Tiền Đường sẽ hẹn hò về sau""."
茦湯𠁸𱥺𣈗輸,Thuốc thang suốt một ngày thâu
聀迷𦖑㐌油油皮散,Giấc mê nghe đã dàu dàu vừa tan
秀𱙘直産边幔,Tú Bà trực sẵn bên màn
妙𠳒𡅳解緡蛮攑吝,Dịu lời khuyên giải mơn man gỡ lần
𱥺𠊚易固𱥯身,"""Một người dễ có mấy thân"
花春當𦭒𣈗春群𨱽,Hoa xuân đương chiếng ngày xuân còn dài
拱𱺵汝𱥺𢗖𠄩,Cũng là nhỡ một nhầm hai
跢鐄之𡝖押奈湄𩄲,Đá vàng chi nỡ ép nài mưa mây
呂蹎卒㐌𠓨低,Lỡ chân đã trót vào đây
錁𢩣春底待𣈗桃𡽫,Khoá buồng xuân để đợi ngày đào non
𠊛群時𧵑唉群,Người còn thì của hãy còn
尋坭稱當𱺵𡥵蓋茄,Tìm nơi xứng đáng là con cái nhà
爫之罪報冤家,Làm chi tội báo oan gia
舌命麻害旦些𫨩咦,"Thiệt mình mà hại đến ta hay gì""."
掑𦖻𱥯餒鑔呢,Kề tai mấy nỗi nằn nì
娘𦖑羕拱是非攊𢬗,Nàng nghe dường cũng thị phi rạch ròi
𡲤推神夢𱥯𠳒,Vả suy thần mộng mấy lời
夙因歐拱固𡗶於𥪞,Túc nhân âu cũng có trời ở trong
刧尼𡢻者渚双,Kiếp này nợ trả chưa xong
爫之吏𱥺𡢻󰣆刧𡢐,Làm chi lại một nợ chồng kiếp sau
朗𦖑𡄎𢪀𨃴頭,Lặng nghe ngẫm nghĩ gót đầu
𠽔浪埃固闷兜世尼,"Thưa rằng: ""Ai có muốn đâu thế này"
特如𠳒世𱺵枚,Được như lời thế là may
罕浪𣈕固如𣈙朱庒,Hẳn rằng mai có như rày cho chăng
𢜝欺螉𧊉代騰,Sợ khi ong bướm đãi đằng
旦條𤯨濁牢朋𣨰𤄯,"Đến điều sống đục sao bằng thác trong""."
𠋦浪𡥵唉從容,Mụ rằng con hãy thong dong
沛條𢚸吏𢬭𢚸麻𨔈,Phải điều lòng lại đổi lòng mà chơi
𣈕𡢐於拯如𠳒,Mai sau ở chẳng như lời
𨕭頭固𩃳𩈘𡗶創𤐝,Trên đầu có bóng mặt trời sáng soi
𧡊𠳒決断罕灰,Thấy lời quyết đoán hẳn hoi
仃𢚸娘買仕𢢯𢢯寅,Đành lòng nàng mới sẽ nguôi nguôi dần
𠓀樓凝碧錁春,Trước lầu Ngưng Bích khoá xuân
𨤔𡽫賒𬌓𦝄𧵆於終,Vẻ non xa tấm trăng gần ở chung
𦊚皮八咯撝𬂙,Bốn bề bát ngát vời trông
洁鐄𡑱怒𣻃紅𨤮箕,Cát vàng cồn nọ bụi hồng dặm kia
𢜢㥬𩄲𣋽畑𣅙,Bẽ bàng mây sớm đèn khuya
姅情姅景如𢺺𬌓𢚸,Nửa tình nửa cảnh như chia tấm lòng
想𠊛𤲂月𡃹同,Tưởng người dưới nguyệt chén đồng
𱓞霜𨻫唉𣈙懞𣈕除,Tin sương luống hãy rày mong mai chờ
边𡗶𧣳𣷭巴為,Bên trời góc bể bơ vơ
𬌓𣘈滑旦包𣇞朱派,Tấm son gột đến bao giờ cho phai
㤕𠊛𢭸𲈾𣋚𣈕,Xót người tựa cửa hôm mai
𦑗燶塔冷仍埃妬𣇞,Quạt nồng đắp lạnh những ai đó giờ
𡑝萊隔𱥯𣌝湄,Sân Lai cách mấy nắng mưa
固欺㭲梓㐌皮𠊛揞,Có khi gốc tử đã vừa người ôm
𢞂𬂙𲈾𣷭𧵆𣋚,Buồn trông cửa bể gần hôm
船埃濕倘𦑃帆賒賒,Thuyền ai thấp thoáng cánh buồm xa xa
𢞂𬂙𦰟渃買沙,Buồn trông ngọn nước mới sa
花㵢蛮漠別𱺵𧗱兜,Hoa trôi man mác biết là về đâu
𢞂𬂙𦹵内油油,Buồn trông cỏ nội dàu dàu
蹎𩄲𩈘坦𱥺牟撑撑,Chân mây mặt đất một màu xanh xanh
𢞂𬂙𫗄捲𩈘溋,Buồn trông gió cuốn mặt duềnh
喑㗰㗂㳥呌𨒺槣𡓮,Ầm thùng tiếng sóng kêu quanh ghế ngồi
終𨒺仍渃𡽫𠊛,Chung quanh những nước non người
𤴬𢚸流落𢧚𠄽𦊚勾,Đau lòng lưu lạc nên vài bốn câu
秦垠𥪸𢷀簾珠,Tần ngần đứng rủ rèm châu
隔墻𦖑固㗂兜和韻,Cách tường nghe có tiếng đâu hoạ vần
𱥺払皮擢青春,Một chàng vừa trạc thanh xuân
形容扯淬襖巾袞強,Hình dung chải chuốt áo khăn gọn gàng
𢪀浪拱脉書香,Nghĩ rằng cũng mạch thư hương
𠳨𫥨買別浪払楚卿,Hỏi ra mới biết rằng chàng Sở Khanh
𩃳娥濕倘𤲂萌,Bóng nga thấp thoáng dưới mành
𬂙娘払拱𫥨情𨔈潙,"Trông nàng, chàng cũng ra tình chơi vơi"
嘆喂色渃香𡗶,"""Than ôi sắc nước hương trời"
惜朱兜俸落類旦低,Tiếc cho đâu bỗng lạc loài đến đây
價仃𥪞月𨕭𩄲,Giá đành trong nguyệt trên mây
花牢花窖墮苔閉花,Hoa sao hoa khéo đoạ đày bấy hoa
息肝𥢅恨𡗶𦓅,Tức gan riêng giận trời già
𢚸尼埃𤍊朱些唉𢚸,Lòng này ai tỏ cho ta hỡi lòng
婵娟啻別英䧺,Thuyền quyên ví biết anh hùng
𫥨𢬣操櫃數籠如𨔈,"Ra tay tháo cũi sổ lồng như chơi""."
窻秋姅怯𦑃外,Song thu nửa khép cánh ngoài
𦖻群同望𱥯𠳒鉄釘,Tai còn đồng vọng mấy lời sắt đinh
𢪀𠊛催吏𢪀命,Nghĩ người thôi lại nghĩ mình
感𢚸咮悴𤁕情猪爲,Cám lòng chua xót nhạt tình chơ vơ
仍𱺵吝呂𣌝湄,Những là lần lữa nắng mưa
刧風塵別包𣇞𱺵催,Kiếp phong trần biết bao giờ là thôi
打料𠴍𱥺𠄩𠳒,Đánh liều nhắn một hai lời
𢘾𢬣濟度𢵼𠊛沉淪,Nhờ tay tế độ vớt người trầm luân
𤗖箋計歇賒𧵆,Mảnh tiên kể hết xa gần
餒茄报答餒身落類,Nỗi nhà báo đáp nỗi thân lạc loài
散霜皮𤏬𣈗𣈕,Tan sương vừa rạng ngày mai
便鴻娘買𠴍𠳒𠳚𨖅,Tiện hồng nàng mới nhắn lời gửi sang
𡗶西朗蕩𩃳鐄,Trời tây lãng đãng bóng vàng
復書㐌𧡊信払旦坭,Phục thư đã thấy tin chàng đến nơi
𨷑䀡𱥺幅箋梅,Mở xem một bức tiên mai
伶伶昔越固𠄩𡨸題,Rành rành tích việt có hai chữ đề
𥙩𥪞意思麻推,Lấy trong ý tứ mà suy
𣈗𠄩𨑮𱥺戌時沛庄,Ngày hai mươi mốt tuất thì phải chăng
𪀄𣋚𨮑𭊕𧗱棱,Chim hôm thoi thót về rừng
架茶𧃲㐌吟𦝄姅鑅,Giá trà mi đã ngậm trăng nửa vành
墻東𢯦動𩃳梗,Tường đông lay động bóng cành
𢩽窻㐌𧡊楚卿𨀈𠓨,Rẽ song đã thấy Sở Khanh bước vào
𠶤𠼾打惮𫥨嘲,Sượng sùng đánh dạn ra chào
𥛉催娘買𠯇𢭂殷勤,Lạy thôi nàng mới rỉ trao ân cần
浪碎䕯渤𡭧身,"Rằng: ""Tôi bèo bọt chút thân"
落弹忙𥙩𡢻㨢燕𲍣,Lạc đàn mang lấy nợ nần yến anh
監𢘾骨肉死生,Dám nhờ cốt nhục tử sinh
群𡗉結𦹵吟鑅𧗱𡢐,"Còn nhiều kết cỏ ngậm vành về sau""."
朗𦖑唚𡄎𩠓頭,Lặng nghe tẩm ngẩm gật đầu
些低沛摱埃兜麻浪,“Ta đây phải mượn ai đâu mà rằng
娘它別旦些庄,Nàng đà biết đến ta chăng
𣷭沉淪拉朱平買催,"Bể trầm luân lấp cho bằng mới thôi""."
娘浪𬮙事恩𠊛,Nàng rằng muôn sự ơn người
世芇吀決𱥺排朱双,Thế nào xin quyết một bài cho xong
浪些固馭追風,"Rằng: ""Ta có ngựa truy phong"
固𠸜𤲂帳本𣳔健兒,Có tên dưới trướng vốn dòng kiện nhi
乘機𨇍𨀈𫥨𠫾,Thừa cơ lẻn bước ra đi
𠀧𨑮𦒹斫斫之𱺵欣,Ba mươi sáu chước chước gì là hơn
油欺𫗄急湄单,Dầu khi gió kép mưa đơn
固些低拱庄干據咦,"Có ta đây cũng chẳng cơn cớ gì""."
𦖑𠳒娘㐌生疑,Nghe lời nàng đã sinh nghi
双它過𡑖管咦特身,Song đà quá đỗi quản gì được thân
拱料𥃱𬑉迻蹎,Cũng liều nhắm mắt đưa chân
麻䀡𡥵造𡏦運旦兜,Mà xem con tạo xoay vần đến đâu
共𠑬𨇍𨀈𫴋樓,Cùng nhau lẻn bước xuống lầu
双双馭𠓀馭𡢐𱥺團,Song song ngựa trước ngựa sau một đoàn
𣈘秋刻渭更殘,Đêm thu khắc vợi canh tàn
𫗄棱拙𦲿𦝄岸唅𦎛,Gió rừng trút lá trăng ngàn ngậm gương
𫮇𱱊冽沫唏霜,Lối mòn lướt mướt hơi sương
𢚸圭𠫾𱥺𨀈塘𱥺𤴬,Lòng quê đi một bước đường một đau
㗂𬷤嗃𠳗嘅毛,Tiếng gà xao xác gáy mau
㗂𠊛兜㐌𠃅𡢐𠰺𠲞,Tiếng người đâu đã mé sau dậy dàng
娘強忖式肝鐄,Nàng càng thổn thức gan vàng
楚卿㐌𢶾𦀊綱𫮇芇,Sở Khanh đã trẽ dây cương lối nào
𱥺命坤別爫牢,Một mình khôn biết làm sao
𨤵棱𨀈𥰊𨀈高駭雄,Dặm rừng bước thấp bước cao hãi hùng
化兒舌固𡝖𢚸,Hoá nhi thiệt có nỡ lòng
爫之𨃐紫紆紅𡗋㝹,Làm chi giày tía vò hồng lắm nao
𱥺團睹旦𠓀𡢐,Một đoàn đổ đến trước sau
𤔯兜𫴋坦𦑃兜𨖲𡗶,"Vuốt đâu xuống đất, cánh đâu lên trời"
秀𱙘速倘旦坭,Tú Bà tốc thẳng đến nơi
歆歆押調𱥺唏吏茄,Hăm hăm áp điệu một hơi lại nhà
凶興庄𠳨庄查,Hung hăng chẳng hỏi chẳng tra
當𢬣𱠩柳拉花哉排,Đang tay vùi liễu dập hoa tơi bời
䏦䏧埃拱𱺵𠊛,Thịt da ai cũng là người
𢚸芇紅用𧺀移庄𤴬,Lòng nào hồng rụng thắm rời chẳng đau
歇𠳒首服懇求,Hết lời thú phục khẩn cầu
捥𦡟䏦睹拮頭𧖱沙,Uốn lưng thịt đổ cất đầu máu sa
浪碎𡭧分弹𱙘,"Rằng: ""Tôi chút phận đàn bà"
渃𡽫離𲈾離茄旦低,Nước non lìa cửa lìa nhà đến đây
悲𣇞𤯨𣨰於𢬣,Bây giờ sống thác ở tay
身尼㐌旦世尼時催,Thân này đã đến thế này thì thôi
仍碎固詫之碎,Nhưng tôi có sá chi tôi
分碎仃丕本𠊛底兜,Phận tôi đành vậy vốn người để đâu
身𧐖包管壈頭,Thân lươn bao quản lấm đầu
𡭧𢚸貞白自𡢐拱除,"Chút lòng trinh bạch từ sau cũng chừa""."
特𠳒𠋦買隨機,Được lời mụ mới tuỳ cơ
扒𠊛保領爫詞供招,Bắt người bảo lãnh làm tờ cung chiêu
排𦠘固妸馬嬌,Bày vai có ả Mã Kiều
㤕娘𫥨買打料𠹾端,Xót nàng ra mới đánh liều chịu đoan
𠋦強計日計寬,Mụ càng kể nhặt kể khoan
迍樔旦墨燶𪹰買他,Đón rào đến mực nồng nàn mới tha
域娘𠓨𠉝𥪞茄,Vực nàng vào nghỉ trong nhà
馬嬌吏吘意𫥨吲𠳒,Mã Kiều lại ngỏ ý ra dặn lời
催它𢹇吝時催,"""Thôi đà mắc lận thì thôi"
𠫾兜拯別𡥵𠊛楚卿,Đi đâu chẳng biết con người Sở Khanh
薄情浽㗂樓撑,Bạc tình nổi tiếng lầu xanh
𱥺𢬣墫別𱥯梗芙蓉,Một tay chôn biết mấy cành phù dung
拖刀拉産斫用,Đà đao sắp sẵn chước dùng
